videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
uyOURYRodzI,24,娛樂_Entertainment,10618903,95471,664,11.0,279444.8157894737
7igBkv_VFtk,24,娛樂_Entertainment,7658741,82673,299,19.0,191468.525
QDGhxndape8,24,娛樂_Entertainment,6342947,46,2,21.0,166919.65789473685
XNBASHoqMas,24,娛樂_Entertainment,6884053,103504,1784,19.0,202472.14705882352
2we0p0-DF84,24,娛樂_Entertainment,1595353,33092,3331,4994.0,61359.730769230766
pn10Ra1SQsY,24,娛樂_Entertainment,4189628,57161,955,55.0,119703.65714285716
jpoinEw8RgQ,24,娛樂_Entertainment,3339880,52815,557,43.0,95425.14285714286
CKofaCsTO54,24,娛樂_Entertainment,4146392,36724,539,13.0,125648.24242424245
AZxtBlNBus8,24,娛樂_Entertainment,3158677,78136,325,60.0,87741.02777777778
Sx4OUBx-DVQ,24,娛樂_Entertainment,4208477,53984,776,23.0,135757.32258064515
M0rtFSZQys0,24,娛樂_Entertainment,2161703,12116,444,200.0,50272.16279069767
jtRU5ZhFdyc,24,娛樂_Entertainment,1540314,26032,2071,2096.0,35821.25581395349
mZMyq4SUM_A,24,娛樂_Entertainment,7580954,23897,90,9.0,194383.4358974359
XNBASHoqMas,24,娛樂_Entertainment,6884053,103504,1784,19.0,202472.14705882352
7G6NEw6V0Js,24,娛樂_Entertainment,12984362,280462,313,20.0,370981.7714285714
_CIOkUMGjeU,24,娛樂_Entertainment,5786446,60485,2149,26.0,165327.0285714286
jpoinEw8RgQ,24,娛樂_Entertainment,3339880,52815,557,43.0,95425.14285714286
CKofaCsTO54,24,娛樂_Entertainment,4146395,36724,539,13.0,125648.33333333331
Sx4OUBx-DVQ,24,娛樂_Entertainment,4208484,53984,776,23.0,135757.5483870968
M0rtFSZQys0,24,娛樂_Entertainment,2161703,12117,444,200.0,50272.16279069767
AZxtBlNBus8,24,娛樂_Entertainment,3158678,78136,325,60.0,87741.05555555556
jtRU5ZhFdyc,24,娛樂_Entertainment,1540314,26033,2071,2096.0,35821.25581395349
