videoId,title,publishedAt,categoryId,categoryName,fetched_date
i1CZ6CdAVh4,クラスの人気投票で盛り上がる男子の末路 #Plottアニメ #if,2025-05-04T08:00:44Z,1,電影與動畫_Film & Animation,2025-05-07
6Gsxw1nNW-w,我對電車還是沒把握⋯ i3 習慣問題#阿慈車庫,2025-05-06T10:00:15Z,2,汽車與車輛_Autos & Vehicles,2025-05-07
VqpdQu4FfxA,TVCM ロッキー 気持ちのいいSUV　港町篇(15秒)　ダイハツ公式,2025-05-07T01:00:01Z,2,汽車與車輛_Autos & Vehicles,2025-05-07
o1DjR_nh6kA,【中古車大揭秘】吃飽太閒 亂闖改裝車大展 台灣天花板都在這SGT6⋯@EmpireMotorClub,2025-05-06T12:05:41Z,2,汽車與車輛_Autos & Vehicles,2025-05-07
gm9_hWSpqxw,仰德大道剎車挨罰2.4萬？法官現場測試驚人翻盤 檢舉人自己沒保持安全距離啊 看這場不合理罰單如何逆轉【#朱朱哥來聊車】@中天車享家CtiCar#抖音 #shorts,2025-05-06T01:36:44Z,2,汽車與車輛_Autos & Vehicles,2025-05-07
Jx02U-533I0,小小的漏油 竟然要拆變速箱?! #audi #a4 #中古車 #中古車買賣 #automobile #二手車 #二手車買賣 #銘玩bling #熱門 #推薦 #流量 #漏油 #進口車 #奧迪,2025-05-05T10:39:02Z,2,汽車與車輛_Autos & Vehicles,2025-05-07
5mqNfbzH0Yg,超新賓士 C180!! 居然要賣?? @jingmei666 #桃園  #賓士 #奔馳 #benz #mercedes #C180 #車行 #tiktok #流量 #流量回來 #新車 #抽獎 #好運,2025-05-06T10:07:22Z,2,汽車與車輛_Autos & Vehicles,2025-05-07
4Fs2f4Jbuyg,【新車施訊】VW亮了!小施臉綠了...價格還比喜美便宜?! / Volkswagen Golf 車系小改款發表,2025-05-06T13:20:36Z,2,汽車與車輛_Autos & Vehicles,2025-05-07
PtECl-Vr3vI,表彰台に立った車が終売【レクサス RCF Final Edition】職人仕上げの車は楽しすぎた！,2025-05-06T10:00:06Z,2,汽車與車輛_Autos & Vehicles,2025-05-07
hXgC7L9sKBY,先生が熱心に勉強を教える姿勢は輝いていて思わず感動した,2025-04-26T09:50:30Z,10,音樂_Music,2025-05-07
WCo5I9dWgDE,飼い主が好きすぎる犬🤫暴露します🔥,2025-05-05T05:14:07Z,15,寵物與動物_Pets & Animals,2025-05-07
LVBEKf8qWz0,新しい家族の誕生に笑いが止まらない友人をみて幸せを感じた,2025-04-12T10:31:35Z,15,寵物與動物_Pets & Animals,2025-05-07
wWrlsw1fQSc,新入り5ニャンズの到着でバタバタな一日,2025-05-06T11:01:29Z,15,寵物與動物_Pets & Animals,2025-05-07
g21V8guN_cw,【野良猫から家猫へ】3年目の記録|ニャン生大逆転した元ボス猫,2025-05-06T23:00:54Z,15,寵物與動物_Pets & Animals,2025-05-07
LWSNWNzNKcI,TNRした子が何度も来るので家に入れてあげました。,2025-05-05T08:15:01Z,15,寵物與動物_Pets & Animals,2025-05-07
fUg-YduxEPE,沒有起床氣的狗狗🐕  #好味小姐 #狗狗 #dog,2025-05-06T12:01:16Z,15,寵物與動物_Pets & Animals,2025-05-07
kXSqGgVeVT0,ぶるまるの金●チェックが厳しい…保護犬が初めてお腹を見せて「お帰り！」してくれました！,2025-05-06T11:01:21Z,15,寵物與動物_Pets & Animals,2025-05-07
vHeNk1H7ZyM,搞笑動物系列第419集 羚羊前有鬣狗，後有鱷魚，我該何去何從 #搞笑 #喵哥是萌新 #funny #搞笑  #大熱門 #大熱門 #萌宠 #animals #萌宠 #pets #爆笑 #cute #萌寵,2025-05-05T12:45:06Z,15,寵物與動物_Pets & Animals,2025-05-07
uomQDqOHe_I,1ヶ月会ってない愛犬の散歩中に待ち伏せしたら気づくのか検証 #再開 #愛犬 #shorts,2025-04-20T22:00:58Z,15,寵物與動物_Pets & Animals,2025-05-07
Ue2oZrVNFXU,果果可以隔空喝可乐的秘密#路飞 #海贼王,2025-04-29T09:30:14Z,22,部落格與人物_People & Blogs,2025-05-07
LXyxrzSYj1c,弟弟知道错了！#火影忍者 #家庭 #小蚂蚁,2025-04-25T08:30:12Z,22,部落格與人物_People & Blogs,2025-05-07
Zzb2cesvOaU,何言っても面白い奴選手権【電車で見ない方がいい】,2025-05-06T22:00:41Z,22,部落格與人物_People & Blogs,2025-05-07
wHJXfTjIln8,实用的办法 #火影忍者 #cosplay #joker,2025-04-28T04:00:58Z,23,喜劇_Comedy,2025-05-07
meVLql2IC8o,原来如此 #火影忍者 #cosplay #joker,2025-04-27T12:01:25Z,23,喜劇_Comedy,2025-05-07
eei3hwbd6B4,大家喜欢哪个 #火影忍者 #cosplay #joker,2025-05-02T02:00:40Z,23,喜劇_Comedy,2025-05-07
PydRrJLWA5M,【夜舞苍龙啸江湖】 皓月当空金鳞跃， 绸龙翻浪破九霄。 一曲沧海江湖笑， 千年豪气在今朝！ 🔥国潮龙魂×侠客情怀🔥 #非遗传承 #国风大赏 #非遗传承#舞龙 #健身龙 #今日中国 🇨🇳,2025-05-04T20:54:07Z,23,喜劇_Comedy,2025-05-07
mZMyq4SUM_A,#禅意人生# #禅意生活#菩提解脫道,2025-04-22T08:39:12Z,24,娛樂_Entertainment,2025-05-07
XNBASHoqMas,被嚇到但還是要説謝謝 #聲浪 ｜VS MEDIAｘ蔡董,2025-04-27T15:30:16Z,24,娛樂_Entertainment,2025-05-07
7G6NEw6V0Js,又是一个富可敌国的石头，哈哈哈哈哈😂仅供娱乐，不喜勿喷,2025-04-26T03:13:21Z,24,娛樂_Entertainment,2025-05-07
_CIOkUMGjeU,超近路女学生，一番操作行云流水，高手在民间,2025-04-25T19:00:34Z,24,娛樂_Entertainment,2025-05-07
jpoinEw8RgQ,格局打开，这才是真正有效的领导力#movie #超燃 #精彩影视,2025-04-26T01:14:20Z,24,娛樂_Entertainment,2025-05-07
CKofaCsTO54,李珠珢 이주은 中場舞 放福利視角 富邦小公主 fubonangels Brave Girls Rollin 250427,2025-04-28T14:48:53Z,24,娛樂_Entertainment,2025-05-07
Sx4OUBx-DVQ,寵物店大型「真香」現場，小金毛：“來洗個澡，被搓澡師傅佔便宜~”#shorts #china #DynamicChina,2025-04-30T15:25:58Z,24,娛樂_Entertainment,2025-05-07
M0rtFSZQys0,【纯享版】张靓颖搭档王以太爆改破亿神曲《跳楼机》！深情Rap碰撞宿命感和声 失重感与孤独感在这一刻完美交织！ #天赐的声音6 EP1 20250418,2025-04-18T14:00:36Z,24,娛樂_Entertainment,2025-05-07
AZxtBlNBus8,给傲慢的面试官一个大大的震撼#movie #精彩影视 #超燃 #魅力四射,2025-04-25T02:04:31Z,24,娛樂_Entertainment,2025-05-07
jtRU5ZhFdyc,全球倒數3個月！只剩3億人？他們警告：2025最恐怖的不是海嘯！ | 馬臉姐,2025-04-18T13:00:01Z,24,娛樂_Entertainment,2025-05-07
ukXNQ_bIoIU,FULL| 周深首期爆笑变身“破碎少年”！孟子义再唱《冬天的秘密》音准震惊原唱 宋雨琦自信开麦遭深深“吐槽”！范丞丞猜词环节“鬼迷日眼”脱口而出 |奔跑吧13 EP1 20250425,2025-04-25T14:07:51Z,24,娛樂_Entertainment,2025-05-07
cfe_de9GxbM,物理「光頭強老師」用蠟燭和發煙片演示風是如何形成的。網友：好老師讓孩子愛上科學！#shorts #china #DynamicChina,2025-04-26T17:07:25Z,24,娛樂_Entertainment,2025-05-07
Cgp1q0QpYlg,论一名警察向前台敬礼的重要性#movie #精彩影视 #超燃,2025-05-06T03:03:00Z,24,娛樂_Entertainment,2025-05-07
irOK4skRKXU,粉紅超跑遇「婦抱童跪求賜福」　1動作溫柔安撫網哭:媽祖慈悲｜TVBS新聞@TVBSNEWS01,2025-05-04T07:37:55Z,25,新聞與政治_News & Politics,2025-05-07
Ou_ekTz52H8,【白沙屯媽祖進香】粉紅超跑駕到嘴秋哥撂狠話不信媽祖不來!下1秒遭神打臉! #金牌特派,2025-05-04T00:03:18Z,25,新聞與政治_News & Politics,2025-05-07
q16e36bML7E,ソフィ超熟睡おやすみプレミアム 抱き枕篇改訂　15秒,2025-04-23T07:36:06Z,26,生活風格與教學_Howto & Style,2025-05-07
IQhWOXc7TVc,沒希望了...紐西蘭奶的天價就是零關稅價錢! 難怪今年不用降價! 鮮奶 牛奶 鮮乳 紐西蘭保久乳 進口奶 國產奶 液態乳,2025-05-06T11:00:33Z,26,生活風格與教學_Howto & Style,2025-05-07
