videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
IslN18VtIhg,10,音樂_Music,58935180,512057,255,43.0,2266737.6923076925
IslN18VtIhg,10,音樂_Music,58938771,512063,255,43.0,2266875.8076923075
oGxfpnvrczk,10,音樂_Music,3521758,60874,280,18.0,167702.7619047619
hXgC7L9sKBY,10,音樂_Music,39539336,205116,315,17.0,1129695.3142857142
IslN18VtIhg,10,音樂_Music,58938773,512066,255,43.0,2266875.8846153845
